seqnames,start,end,width,strand,name,score,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr9,118631185,118631585,401,*,152228,0,Distal Intergenic,9,118592786,118597253,4468,2,105376249,ENST00000770014.1,-33932,NA,LOC105376249,uncharacterized LOC105376249
chr7,136303041,136303441,401,*,138564,0,Promoter (<=1kb),7,136304411,136437444,133034,1,105375523,ENST00000670875.1,-970,ENSG00000232053,LOC105375523,uncharacterized LOC105375523
chr9,27413041,27413441,401,*,148344,0,Intron (ENST00000262244.6/79817, intron 2 of 3),9,27359024,27421714,62691,2,79817,ENST00000603061.1,8273,ENSG00000120162,MOB3B,MOB kinase activator 3B
chr20,44601154,44601554,401,*,87005,0,Intron (ENST00000372891.7/11142, intron 4 of 5),20,44614308,44619037,4730,1,11142,ENST00000349959.3,-12754,ENSG00000168734,PKIG,cAMP-dependent protein kinase inhibitor gamma
chr9,97504600,97505000,401,*,150776,0,Promoter (2-3kb),9,97501666,97601743,100078,1,7111,ENST00000259365.9,2934,ENSG00000136842,TMOD1,tropomodulin 1
chr7,44652539,44652939,401,*,134093,0,Intron (ENST00000439616.6/4967, intron 2 of 19),7,44666621,44675245,8625,1,4967,ENST00000459672.5,-13682,ENSG00000105953,OGDH,oxoglutarate dehydrogenase
chr17,49741232,49741632,401,*,60651,0,Intron (ENST00000240364.7/81558, intron 1 of 7),17,49717686,49747263,29578,2,81558,ENST00000515240.5,5631,ENSG00000121104,FAM117A,family with sequence similarity 117 member A
chr15,76983893,76984293,401,*,50797,0,Distal Intergenic,15,76993359,77025582,32224,1,9051,ENST00000558407.5,-9066,ENSG00000140368,PSTPIP1,proline-serine-threonine phosphatase interacting protein 1
chr12,51705433,51705833,401,*,33094,0,Exon (ENST00000667214.1/6334, exon 10 of 12),12,51686423,51745948,59526,1,6334,ENST00000551216.2,19010,ENSG00000196876,SCN8A,sodium voltage-gated channel alpha subunit 8
chr3,142902354,142902754,401,*,100929,0,Distal Intergenic,3,142912116,142942536,30421,1,100507389,ENST00000658594.1,-9362,ENSG00000243818,HLMR1,hepatic lncRNA metabolic regulator 1
chr4,37719486,37719886,401,*,105924,0,Distal Intergenic,4,37610634,37686376,75743,2,768211,ENST00000454158.7,-33110,ENSG00000181826,RELL1,RELT like 1
chrX,34790089,34790489,401,*,155246,0,Distal Intergenic,23,34627075,34657285,30211,2,83604,ENST00000275954.4,-132804,ENSG00000147027,TMEM47,transmembrane protein 47
chr6,131362642,131363042,401,*,128659,0,Intron (ENST00000771193.1/105378005, intron 3 of 4),6,131217720,131443748,226029,2,105378005,ENST00000771193.1,80706,NA,LOC105378005,uncharacterized LOC105378005
chr12,132030421,132030821,401,*,37865,0,Promoter (<=1kb),12,132031224,132031359,136,1,677829,ENST00000386157.1,-403,ENSG00000208892,SNORA49,small nucleolar RNA, H/ACA box 49
chr17,215747,216147,401,*,57069,0,Promoter (<=1kb),17,213324,215933,2610,2,9501,ENST00000572965.1,0,ENSG00000181031,RPH3AL,rabphilin 3A like (without C2 domains)
chr17,1878379,1878779,401,*,57241,0,Promoter (<=1kb),17,1879035,1900082,21048,1,6117,ENST00000574049.1,-256,ENSG00000132383,RPA1,replication protein A1
chr2,209208156,209208556,401,*,82003,0,Intron (ENST00000723815.1/ENST00000723815.1, intron 1 of 5),2,209424047,209734112,310066,1,4133,ENST00000682079.1,-215491,ENSG00000078018,MAP2,microtubule associated protein 2
chr6,78492617,78493017,401,*,126360,0,Intron (ENST00000715178.1/105377865, intron 4 of 14),6,77725299,78606036,880738,2,105377865,ENST00000715178.1,113019,NA,LOC105377865,uncharacterized LOC105377865
chr12,100933605,100934005,401,*,35918,0,Intron (ENST00000549155.6/121601, intron 5 of 10),12,100987119,101042381,55263,1,121601,ENST00000549234.1,-53114,ENSG00000151572,ANO4,anoctamin 4
chr2,203022702,203023102,401,*,81627,0,Intron (ENST00000682787.1/65065, intron 2 of 5),2,203016385,203219874,203490,1,65065,ENST00000681967.1,6317,ENSG00000144426,NBEAL1,neurobeachin like 1
chr21,28657490,28657890,401,*,89136,0,Intron (ENST00000824757.1/29104, intron 1 of 8),21,28439346,28674848,235503,2,29104,ENST00000433310.6,16958,ENSG00000156239,HEMK2,HemK methyltransferase 2, ETF1 glutamine and histone H4 lysine
chr13,94170203,94170603,401,*,41166,0,Intron (ENST00000377047.9/10082, intron 4 of 8),13,94154193,94187991,33799,2,100873972,ENST00000436329.2,17388,ENSG00000236520,GPC6-AS1,GPC6 antisense RNA 1
chr14,38567362,38567762,401,*,43231,0,Intron (ENST00000765621.1/ENST00000765621.1, intron 1 of 3),14,38749339,38762998,13660,2,283547,ENST00000776595.1,195236,ENSG00000259070,LINC00639,long intergenic non-protein coding RNA 639
chr11,89145307,89145707,401,*,27551,0,Distal Intergenic,11,89177875,89295759,117885,1,7299,ENST00000263321.6,-32168,ENSG00000077498,TYR,tyrosinase
chr7,113203961,113204361,401,*,137384,0,Intron (ENST00000831019.1/ENST00000831019.1, intron 1 of 1),7,113145016,113146330,1315,1,107986837,ENST00000430610.1,58945,ENSG00000225457,LOC107986837,uncharacterized LOC107986837
chr19,36136639,36137039,401,*,69328,0,Promoter (2-3kb),19,36127689,36139950,12262,2,105372385,ENST00000830261.1,2911,NA,LOC105372385,uncharacterized LOC105372385
chr1,33641251,33641651,401,*,2880,0,Intron (ENST00000373381.9/114784, intron 29 of 70),1,33598689,33626584,27896,2,114784,ENST00000373377.1,-14667,ENSG00000121904,CSMD2,CUB and Sushi multiple domains 2
chr4,142933236,142933636,401,*,110275,0,Promoter (<=1kb),4,142916371,142933190,16820,2,105377623,ENST00000725272.1,-46,ENSG00000250326,USP38-DT,USP38 divergent transcript
chr14,20181579,20181979,401,*,42280,0,Distal Intergenic,14,20190896,20201075,10180,1,390439,ENST00000641682.1,-8917,ENSG00000196832,OR11G2,olfactory receptor family 11 subfamily G member 2
chr1,21201055,21201455,401,*,1661,0,Distal Intergenic,1,21219814,21222081,2268,2,1889,ENST00000531334.1,20626,ENSG00000117298,ECE1,endothelin converting enzyme 1
chr5,112875788,112876188,401,*,117435,0,Intron (ENST00000503445.5/6728, intron 3 of 4),5,112864609,112867752,3144,1,6728,ENST00000504696.1,11179,ENSG00000153037,SRP19,signal recognition particle 19
chr4,158279882,158280282,401,*,111136,0,Intron (ENST00000803056.1/105377510, intron 3 of 3),4,158315311,158652212,336902,1,59350,ENST00000460056.6,-35029,ENSG00000171509,RXFP1,relaxin family peptide receptor 1
chr8,98969865,98970265,401,*,144199,0,Intron (ENST00000686056.3/105375666, intron 1 of 2),8,98961428,98968284,6857,1,107986872,ENST00000420417.3,8437,NA,LOC107986872,uncharacterized LOC107986872
chr9,98666642,98667042,401,*,150871,0,Intron (ENST00000259455.4/9568, intron 1 of 18),9,98541887,98707461,165575,2,9568,ENST00000637717.1,40419,ENSG00000136928,GABBR2,gamma-aminobutyric acid type B receptor subunit 2
chr14,73002444,73002844,401,*,45084,0,Intron (ENST00000553891.5/53349, intron 2 of 12),14,72970882,72986985,16104,2,53349,ENST00000555072.1,-15459,ENSG00000165861,ZFYVE1,zinc finger FYVE-type containing 1
chr11,9025337,9025737,401,*,23130,0,Promoter (<=1kb),11,9022552,9025821,3270,2,57758,ENST00000532532.1,84,ENSG00000175356,SCUBE2,signal peptide, CUB domain and EGF like domain containing 2
chr3,43915577,43915977,401,*,95604,0,Exon (ENST00000739578.1/ENST00000739578.1, exon 4 of 5),3,43837370,43894848,57479,2,107986081,ENST00000738779.1,-20729,NA,LOC107986081,uncharacterized LOC107986081
chr1,154256653,154257053,401,*,8810,0,Promoter (<=1kb),1,154257071,154270564,13494,1,9898,ENST00000428595.1,-18,ENSG00000143569,UBAP2L,ubiquitin associated protein 2 like
chr11,43542227,43542627,401,*,24926,0,Distal Intergenic,11,43556394,43570400,14007,1,100507261,ENST00000718496.1,-13767,ENSG00000235661,MIR670HG,MIR670 host gene
chr1,42210873,42211273,401,*,3489,0,Intron (ENST00000372572.5/22887, intron 7 of 14),1,42194997,42206011,11015,2,22887,ENST00000422278.1,-4862,ENSG00000198815,FOXJ3,forkhead box J3
chr2,178895459,178895859,401,*,80322,0,Intron (ENST00000652826.1/105373766, intron 1 of 5),2,178835756,178884951,49196,2,285025,ENST00000343876.6,-10508,ENSG00000163492,CCDC141,coiled-coil domain containing 141
chr20,37358396,37358796,401,*,86562,0,Intron (ENST00000497734.5/6714, intron 1 of 2),20,37346140,37406050,59911,1,6714,ENST00000692423.1,12256,ENSG00000197122,SRC,SRC proto-oncogene, non-receptor tyrosine kinase
chr13,30098412,30098812,401,*,38581,0,Distal Intergenic,13,30107599,30108875,1277,2,100874146,ENST00000432770.1,10063,ENSG00000224511,LINC00365,long intergenic non-protein coding RNA 365
chr8,32750304,32750704,401,*,141287,0,Intron (ENST00000519301.6/3084, intron 6 of 10),8,32721845,32756475,34631,1,3084,ENST00000519240.5,28459,ENSG00000157168,NRG1,neuregulin 1
chr1,44926468,44926868,401,*,3705,0,Promoter (<=1kb),1,44850776,44926655,75880,2,8891,ENST00000439363.5,0,ENSG00000070785,EIF2B3,eukaryotic translation initiation factor 2B subunit gamma
chr10,14578374,14578774,401,*,15584,0,Intron (ENST00000181796.7/83641, intron 2 of 4),10,14521194,14572339,51146,2,83641,ENST00000468492.5,-6035,ENSG00000065809,FAM107B,family with sequence similarity 107 member B
chr17,40155750,40156150,401,*,59694,0,Intron (ENST00000418132.7/22794, intron 3 of 7),17,40161797,40166857,5061,1,22794,ENST00000474190.1,-5647,ENSG00000108349,CASC3,CASC3 exon junction complex subunit
chr10,52436838,52437238,401,*,17692,0,Distal Intergenic,10,52452049,52580548,128500,1,124902426,ENST00000736443.1,-14811,NA,LOC124902426,uncharacterized LOC124902426
chr2,2294249,2294649,401,*,71136,0,Intron (ENST00000647755.1/23040, intron 1 of 24),2,2319232,2327110,7879,1,730811,ENST00000422175.1,-24583,ENSG00000225619,MYT1L-AS1,MYT1L antisense RNA 1
chr3,170660172,170660572,401,*,102378,0,Exon (ENST00000497988.1/101928583, exon 2 of 2),3,170656562,170662123,5562,1,101928583,ENST00000497988.1,3610,ENSG00000285051,SLC7A14-AS1,SLC7A14 antisense RNA 1
chr6,90545426,90545826,401,*,126928,0,Promoter (1-2kb),6,90515668,90547357,31690,2,6885,ENST00000700585.1,1531,ENSG00000135341,MAP3K7,mitogen-activated protein kinase kinase kinase 7
chr1,31052344,31052744,401,*,2608,0,Intron (ENST00000424085.6/9698, intron 2 of 17),1,31059279,31061916,2638,2,9698,ENST00000531867.1,9172,ENSG00000134644,PUM1,pumilio RNA binding family member 1
chr6,141173338,141173738,401,*,129385,0,Distal Intergenic,6,141403235,141404614,1380,1,105378029,ENST00000667537.2,-229497,NA,LOC105378029,uncharacterized LOC105378029
chr12,100717786,100718186,401,*,35904,0,Promoter (<=1kb),12,100717526,101128287,410762,1,121601,ENST00000644049.1,260,ENSG00000151572,ANO4,anoctamin 4
chr16,51818377,51818777,401,*,54553,0,Distal Intergenic,16,51763568,51773468,9901,1,101927364,ENST00000830628.1,54809,NA,LINC01571,long intergenic non-protein coding RNA 1571
chr8,129886899,129887299,401,*,146237,0,Intron (ENST00000519824.6/51571, intron 2 of 11),8,129850554,129862326,11773,2,51571,ENST00000517801.5,-24573,ENSG00000153310,CYRIB,CYFIP related Rac1 interactor B
chr8,27128096,27128496,401,*,140872,0,Distal Intergenic,8,27171914,27210786,38873,1,105379340,ENST00000521408.3,-43418,ENSG00000253888,LOC105379340,uncharacterized LOC105379340
chr3,180358168,180358568,401,*,102945,0,Distal Intergenic,3,180413008,180422508,9501,1,100505609,ENST00000670709.1,-54440,ENSG00000241696,LINC02053,long intergenic non-protein coding RNA 2053
chr13,63367563,63367963,401,*,40370,0,Distal Intergenic,13,63397011,63462441,65431,1,124903236,ENST00000666997.1,-29048,ENSG00000287996,LOC124903236,uncharacterized LOC124903236
chr20,51742634,51743034,401,*,87725,0,Intron (ENST00000311637.9/10079, intron 1 of 22),20,51725819,51732587,6769,2,10079,ENST00000477492.1,-10047,ENSG00000054793,ATP9A,ATPase phospholipid transporting 9A (putative)
chr10,109379180,109379580,401,*,21017,0,Distal Intergenic,10,109868636,109871032,2397,2,7511,ENST00000494499.1,491452,ENSG00000108039,XPNPEP1,X-prolyl aminopeptidase 1
chr1,51714591,51714991,401,*,4064,0,Promoter (<=1kb),1,51714003,51756657,42655,1,114883,ENST00000484890.5,588,ENSG00000117859,OSBPL9,oxysterol binding protein like 9
chr3,85670617,85671017,401,*,97972,0,Intron (ENST00000383699.8/253559, intron 1 of 9),3,85726482,86066783,340302,1,253559,ENST00000405615.2,-55465,ENSG00000175161,CADM2,cell adhesion molecule 2
chr6,91185080,91185480,401,*,126939,0,Distal Intergenic,6,90891232,91145185,253954,1,107986623,ENST00000828794.1,293848,NA,LOC107986623,uncharacterized LOC107986623
chr9,118640834,118641234,401,*,152229,0,Distal Intergenic,9,118678070,118687205,9136,1,111216287,ENST00000718957.1,-36836,NA,LINC02578,long intergenic non-protein coding RNA 2578
chr8,115867552,115867952,401,*,145003,0,Promoter (1-2kb),8,115869091,115884269,15179,1,107986968,ENST00000804519.1,-1139,ENSG00000304557,LOC107986968,uncharacterized LOC107986968
chr1,169161293,169161693,401,*,9816,0,Intron (ENST00000688755.1/481, intron 7 of 8),1,169132531,169190710,58180,2,29922,ENST00000530739.5,29017,ENSG00000143156,NME7,NME/NM23 family member 7
chr5,53007440,53007840,401,*,114384,0,Intron (ENST00000503810.6/3673, intron 1 of 28),5,52932476,52990278,57803,2,121232372,ENST00000503559.1,-17162,ENSG00000249899,ITGA2-AS1,ITGA2 antisense RNA 1
chr2,197345847,197346247,401,*,81225,0,Distal Intergenic,2,197312362,197318880,6519,1,105373824,ENST00000738754.1,33485,NA,ANKRD44-DT,ANKRD44 divergent transcript
chr1,17746275,17746675,401,*,1403,0,Intron (ENST00000430540.1/107984028, intron 3 of 3),1,17755333,17827063,71731,1,81569,ENST00000375406.2,-8658,ENSG00000117148,ACTL8,actin like 8
chr1,85427418,85427818,401,*,6091,0,Intron (ENST00000426125.1/ENST00000426125.1, intron 2 of 2),1,85321452,85404528,83077,2,23576,ENST00000633113.1,-22890,ENSG00000153904,DDAH1,dimethylarginine dimethylaminohydrolase 1
chr8,76771195,76771595,401,*,143065,0,Intron (ENST00000517683.1/79776, intron 1 of 1),8,76776388,76851907,75520,1,79776,ENST00000650716.1,-4793,ENSG00000091656,ZFHX4,zinc finger homeobox 4
chr6,133682649,133683049,401,*,128825,0,Intron (ENST00000607033.5/100507308, intron 4 of 8),6,133538106,133767596,229491,2,100507308,ENST00000795413.1,84547,ENSG00000227954,TARID,TCF21 antisense RNA inducing promoter demethylation
chr2,182280146,182280546,401,*,80510,0,Exon (ENST00000652952.1/ENST00000652952.1, exon 2 of 2),2,182167887,182242063,74177,2,5136,ENST00000358139.6,-38083,ENSG00000115252,PDE1A,phosphodiesterase 1A
chr12,115261012,115261412,401,*,36914,0,Distal Intergenic,12,115310578,115320951,10374,2,124903082,ENST00000720906.1,59539,NA,LOC124903082,uncharacterized LOC124903082
chr22,42885440,42885840,401,*,92666,0,Intron (ENST00000337959.8/11252, intron 5 of 9),22,42835412,42876207,40796,2,26286,ENST00000507586.1,-9233,ENSG00000242247,ARFGAP3,ARF GTPase activating protein 3
chr2,11326308,11326708,401,*,71636,0,Intron (ENST00000315872.11/9475, intron 1 of 32),2,11343743,11349288,5546,1,124907733,ENST00000815406.1,-17035,NA,LOC124907733,uncharacterized LOC124907733
chr8,26757058,26757458,401,*,140858,0,3' UTR,8,26770210,26854574,84365,2,148,ENST00000518621.1,97116,ENSG00000120907,ADRA1A,adrenoceptor alpha 1A
chr10,17811120,17811520,401,*,15806,0,Promoter (1-2kb),10,17809348,17911164,101817,1,4360,ENST00000569591.3,1772,ENSG00000260314,MRC1,mannose receptor C-type 1
chr1,29417095,29417495,401,*,2511,0,Distal Intergenic,1,29442929,29519769,76841,1,107984933,ENST00000772659.1,-25434,NA,LOC107984933,uncharacterized LOC107984933
chr14,21521506,21521906,401,*,42369,0,3' UTR,14,21521651,21526227,4577,2,6297,ENST00000450879.2,4321,ENSG00000165821,SALL2,spalt like transcription factor 2
chr10,108616907,108617307,401,*,20993,0,Distal Intergenic,10,108708539,108840686,132148,1,105378478,ENST00000653086.1,-91232,ENSG00000223381,LINC02661,long intergenic non-protein coding RNA 2661
chr12,76242836,76243236,401,*,34621,0,Intron (ENST00000838707.1/ENST00000838707.1, intron 2 of 3),12,76252271,76297739,45469,1,105369848,ENST00000838955.1,-9035,ENSG00000257219,LNCOG,lncRNA osteogenesis associated
chr15,43274072,43274472,401,*,48324,0,Promoter (2-3kb),15,43276280,43277007,728,2,116179,ENST00000562372.1,2535,ENSG00000159495,TGM7,transglutaminase 7
chr3,44990019,44990419,401,*,95665,0,Intron (ENST00000461361.5/23016, intron 3 of 8),3,45001548,45036071,34524,1,7123,ENST00000490386.1,-11129,ENSG00000163815,CLEC3B,C-type lectin domain family 3 member B
chr5,5979382,5979782,401,*,112649,0,Distal Intergenic,5,5688805,5694742,5938,1,105374634,ENST00000659085.1,290577,NA,LOC105374634,uncharacterized LOC105374634
chrX,101564413,101564813,401,*,156637,0,Distal Intergenic,23,101550547,101554700,4154,1,51309,ENST00000372829.8,13866,ENSG00000126947,ARMCX1,armadillo repeat containing X-linked 1
chr4,80462543,80462943,401,*,107571,0,Intron (ENST00000358105.8/255119, intron 2 of 5),4,80335781,80583291,247511,1,255119,ENST00000503883.1,126762,ENSG00000197826,CFAP299,cilia and flagella associated protein 299
chr3,156582829,156583229,401,*,101795,0,Distal Intergenic,3,156542821,156555149,12329,2,6747,ENST00000467789.5,-27680,ENSG00000114850,SSR3,signal sequence receptor subunit 3
chr4,78542360,78542760,401,*,107454,0,3' UTR,4,78551747,78610415,58669,1,306,ENST00000512884.5,-8987,ENSG00000138772,ANXA3,annexin A3
chr19,13702507,13702907,401,*,68229,0,Distal Intergenic,19,13731760,13759121,27362,1,81576,ENST00000540216.5,-28853,ENSG00000104957,YJU2B,YJU2 splicing factor homolog B
chr2,96899093,96899493,401,*,76360,0,Promoter (<=1kb),2,96875882,96898133,22252,2,51252,ENST00000393526.6,-960,ENSG00000168754,FAM178B,family with sequence similarity 178 member B
chr9,98684602,98685002,401,*,150872,0,Intron (ENST00000259455.4/9568, intron 1 of 18),9,98541887,98707461,165575,2,9568,ENST00000637717.1,22459,ENSG00000136928,GABBR2,gamma-aminobutyric acid type B receptor subunit 2
chr4,147901306,147901706,401,*,110516,0,Intron (ENST00000336498.8/79658, intron 10 of 22),4,147881867,148072775,190909,1,79658,ENST00000507661.1,19439,ENSG00000071205,ARHGAP10,Rho GTPase activating protein 10
chr20,4256887,4257287,401,*,84743,0,Intron (ENST00000755410.1/ENST00000755410.1, intron 1 of 3),20,4220630,4249287,28658,2,146,ENST00000379453.6,-7600,ENSG00000171873,ADRA1D,adrenoceptor alpha 1D
chr7,152565566,152565966,401,*,139316,0,Exon (ENST00000758954.1/ENST00000758954.1, exon 1 of 3),7,152609313,152609434,122,1,124900247,ENST00000391288.1,-43347,ENSG00000212590,LOC124900247,small nucleolar RNA SNORA26
chr2,238019952,238020352,401,*,84035,0,Intron (ENST00000440223.5/140739, intron 5 of 7),2,238025261,238041783,16523,1,140739,ENST00000480828.5,-4909,ENSG00000184182,UBE2F,ubiquitin conjugating enzyme E2 F (putative)
chr6,62991074,62991474,401,*,125864,0,Distal Intergenic,6,63211469,63213027,1559,1,642489,ENST00000370659.2,-219995,ENSG00000198225,FKBP1C,FKBP prolyl isomerase family member 1C
chr15,70643693,70644093,401,*,50271,0,Distal Intergenic,15,70644410,70650716,6307,2,107984791,ENST00000775823.1,6623,NA,LOC107984791,uncharacterized LOC107984791
chr3,21462131,21462531,401,*,94345,0,Intron (ENST00000281523.8/79750, intron 4 of 7),3,21421139,21431277,10139,2,79750,ENST00000467140.2,-30854,ENSG00000151789,ZNF385D,zinc finger protein 385D
chr12,76274794,76275194,401,*,34627,0,Intron (ENST00000838955.1/105369848, intron 1 of 3),12,76259846,76292089,32244,1,105369848,ENST00000838960.1,14948,ENSG00000257219,LNCOG,lncRNA osteogenesis associated
chr20,1533123,1533523,401,*,84510,0,Exon (ENST00000453770.1/128646, exon 4 of 6),20,1534251,1551939,17689,2,128646,ENST00000429387.5,18416,ENSG00000125900,SIRPD,signal regulatory protein delta
chr14_GL000194v1_random,11309,11709,401,*,47070,0,Exon (ENST00000758018.1/ENST00000758018.1, exon 3 of 3),307,30694,57425,26732,1,105379274,ENST00000757887.1,-18985,NA,LOC105379274,uncharacterized LOC105379274
chr2,234052097,234052497,401,*,83614,0,Promoter (1-2kb),2,234050837,234056278,5442,1,6694,ENST00000492481.1,1260,ENSG00000072080,SPP2,secreted phosphoprotein 2
chr21,28627551,28627951,401,*,89131,0,Promoter (<=1kb),21,28444549,28626604,182056,2,29104,ENST00000430247.1,-947,ENSG00000156239,HEMK2,HemK methyltransferase 2, ETF1 glutamine and histone H4 lysine
chr5,16600886,16601286,401,*,113183,0,Intron (ENST00000306320.10/54463, intron 1 of 8),5,16615926,16629969,14044,1,101929524,ENST00000499131.1,-14640,ENSG00000246214,RETREG1-AS1,RETREG1 antisense RNA 1
chr8,99099224,99099624,401,*,144212,0,Intron (ENST00000496144.5/157680, intron 4 of 33),8,99103059,99121332,18274,1,157680,ENST00000524330.1,-3435,ENSG00000132549,VPS13B,vacuolar protein sorting 13 homolog B
chr11,123268052,123268452,401,*,29524,0,Distal Intergenic,11,123301390,123301523,134,1,124900305,ENST00000363626.1,-32938,ENSG00000200496,LOC124900305,U8 small nucleolar RNA
chr13,110307338,110307738,401,*,41993,0,Promoter (<=1kb),13,110307357,110448678,141322,1,1284,ENST00000650540.1,0,ENSG00000134871,COL4A2,collagen type IV alpha 2 chain
chr16,75289095,75289495,401,*,55949,0,Intron (ENST00000736689.1/ENST00000736689.1, intron 3 of 3),16,75293908,75305438,11531,2,10428,ENST00000562602.1,15943,ENSG00000153774,CFDP1,craniofacial development protein 1
chr10,97224897,97225297,401,*,20311,0,3' UTR,10,97195907,97203721,7815,1,112268065,ENST00000656148.1,28990,ENSG00000286683,LOC112268065,uncharacterized LOC112268065
chr7,85686213,85686613,401,*,135948,0,Distal Intergenic,7,85475227,85489232,14006,1,105375380,ENST00000422448.1,210986,ENSG00000225128,LINC00972,long intergenic non-protein coding RNA 972
chr10,31645177,31645577,401,*,16618,0,Distal Intergenic,10,31608500,31620862,12363,2,105376484,ENST00000662998.1,-24315,NA,LOC105376484,uncharacterized LOC105376484
chr17,15833818,15834218,401,*,58278,0,Exon (ENST00000421102.6/136, exon 3 of 9),17,15829369,15908632,79264,1,136,ENST00000421102.6,4449,ENSG00000170425,ADORA2B,adenosine A2b receptor
chr10,4556315,4556715,401,*,15041,0,Distal Intergenic,10,4650190,4654023,3834,2,100216001,ENST00000659646.1,97308,ENSG00000231298,MANCR,mitotically associated long non coding RNA
chr9,122959730,122960130,401,*,152506,0,Intron (ENST00000456584.5/23637, intron 2 of 27),9,122940537,122941285,749,2,105379839,ENST00000656036.3,-18445,ENSG00000286718,LOC105379839,uncharacterized LOC105379839
chr19,2867005,2867405,401,*,67279,0,Promoter (<=1kb),19,2867335,2877442,10108,1,80032,ENST00000586470.5,0,ENSG00000172000,ZNF556,zinc finger protein 556
chr1,198726469,198726869,401,*,11327,0,Intron (ENST00000348564.12/5788, intron 12 of 29),1,198718169,198757283,39115,1,5788,ENST00000697633.1,8300,ENSG00000081237,PTPRC,protein tyrosine phosphatase receptor type C
chr2,222038005,222038405,401,*,82788,0,Intron (ENST00000755241.1/ENST00000755241.1, intron 4 of 4),2,222202137,222221410,19274,2,5077,ENST00000555548.1,183005,ENSG00000135903,PAX3,paired box 3
chr3,127615257,127615657,401,*,99967,0,Promoter (1-2kb),3,127616978,127617821,844,1,4171,ENST00000473785.1,-1321,ENSG00000073111,MCM2,minichromosome maintenance complex component 2
chr2,9021781,9022181,401,*,71405,0,Intron (ENST00000782039.1/124907729, intron 2 of 3),2,9004093,9008863,4771,1,124907728,ENST00000782044.1,17688,NA,LOC124907728,uncharacterized LOC124907728
chr6,5831320,5831720,401,*,122177,0,Intron (ENST00000809748.1/ENST00000809748.1, intron 1 of 1),6,5851468,5870273,18806,1,124901251,ENST00000765522.1,-19748,NA,LOC124901251,uncharacterized LOC124901251
chr12,82449101,82449501,401,*,34955,0,Intron (ENST00000547357.5/84190, intron 8 of 9),12,82438515,82479166,40652,1,84190,ENST00000548432.5,10586,ENSG00000127720,METTL25,methyltransferase like 25
chr1,248810696,248811096,401,*,14737,0,3' UTR,1,248810446,248814173,3728,2,80851,ENST00000484202.2,3077,ENSG00000175137,SH3BP5L,SH3 binding domain protein 5 like
chr6,143742492,143742892,401,*,129572,0,Intron (ENST00000367584.8/9749, intron 2 of 11),6,143748928,143765665,16738,1,9749,ENST00000420771.2,-6036,ENSG00000112419,PHACTR2,phosphatase and actin regulator 2
chr12,51776646,51777046,401,*,33101,0,Intron (ENST00000662684.1/6334, intron 20 of 26),12,51769957,51770379,423,1,6334,ENST00000636458.1,6689,ENSG00000196876,SCN8A,sodium voltage-gated channel alpha subunit 8
chr10,124472154,124472554,401,*,22074,0,Intron (ENST00000368842.10/64077, intron 1 of 6),10,124461843,124614141,152299,1,64077,ENST00000368839.1,10311,ENSG00000107902,LHPP,phospholysine phosphohistidine inorganic pyrophosphate phosphatase
chr2,71325502,71325902,401,*,75359,0,Intron (ENST00000718085.1/27332, intron 1 of 3),2,71331728,71349545,17818,1,27332,ENST00000437658.2,-5826,ENSG00000075292,ZNF638,zinc finger protein 638
chr5,31274264,31274664,401,*,113402,0,Exon (ENST00000841911.1/ENST00000841911.1, exon 1 of 4),5,31294199,31302442,8244,1,1004,ENST00000508132.1,-19535,ENSG00000113361,CDH6,cadherin 6
chr19,5253397,5253797,401,*,67536,0,Promoter (2-3kb),19,5204915,5250884,45970,2,5802,ENST00000850941.1,-2513,ENSG00000105426,PTPRS,protein tyrosine phosphatase receptor type S
chr8,105750483,105750883,401,*,144694,0,Intron (ENST00000407775.7/23414, intron 5 of 7),8,105546089,105798409,252321,2,105375696,ENST00000647695.1,47526,NA,LOC105375696,uncharacterized LOC105375696
chr8,66154867,66155267,401,*,142613,0,Promoter (2-3kb),8,66152298,66175005,22708,1,84675,ENST00000517647.1,2569,ENSG00000147573,TRIM55,tripartite motif containing 55
chrX,44733903,44734303,401,*,155611,0,Distal Intergenic,23,44844021,44844888,868,1,63904,ENST00000339042.6,-109718,ENSG00000189037,DUSP21,dual specificity phosphatase 21
chr14,31297924,31298324,401,*,42806,0,Promoter (<=1kb),14,31292602,31297720,5119,2,25938,ENST00000551414.1,-204,ENSG00000129493,HEATR5A,HEAT repeat containing 5A
chr3,29301630,29302030,401,*,94723,0,Intron (ENST00000635992.1/152098, intron 8 of 13),3,29264194,29290726,26533,2,100873979,ENST00000413430.1,-10904,ENSG00000235904,RBMS3-AS3,RBMS3 antisense RNA 3
chr2,182559621,182560021,401,*,80534,0,Distal Intergenic,2,182167902,182523359,355458,2,5136,ENST00000495511.2,-36262,ENSG00000115252,PDE1A,phosphodiesterase 1A
chr22,50299917,50300317,401,*,93192,0,Promoter (1-2kb),22,50287987,50301462,13476,2,23654,ENST00000432455.5,1145,ENSG00000196576,PLXNB2,plexin B2
chrUn_GL000224v1,3876,4276,401,*,153964,0,Distal Intergenic,336,102473,110046,7574,1,100505874,ENST00000727719.1,-98197,ENSG00000295063,LOC100505874,uncharacterized LOC100505874
